X,Y,Z
-34.896566428636255,-8.045530546070973,14.0
-34.896557306953774,-8.04555663825537,14.0
-34.89654813675171,-8.04556663100684,14.0
-34.896536783168195,-8.045580121221327,14.0
-34.89650911406468,-8.045610562103123,14.0
-34.89648889433518,-8.045634914808561,14.0
-34.89647156313847,-8.045655788556077,14.0
-34.89644784676402,-8.045687099177353,14.0
-34.89643649318051,-8.04570319861028,14.0
-34.89643005948319,-8.04571319136175,14.0
-34.89640973116223,-8.045746738455975,14.0
-34.89640515729001,-8.04575389516941,14.0
-34.896385068125774,-8.045791467914942,14.0
-34.89586571757304,-8.045008702383036,14.0
-34.89585398109741,-8.045033952884065,14.0
-34.89582529193477,-8.045073932844028,14.0
-34.895795646466716,-8.045060886751829,14.0
-34.89577588282134,-8.04505218935703,14.0
-34.895736355530595,-8.045034794567433,14.0
-34.895716591885225,-8.045026097172634,14.0
-34.89567706459448,-8.045008702383036,14.0
-34.895725575360395,-8.044999214315983,14.0
-34.895736355530595,-8.044997520018294,14.0
-34.8957525257859,-8.044994470282456,14.0
-34.89579913416884,-8.044985679867391,14.0
-34.89582529193477,-8.044980746471182,14.0
-34.89584344222134,-8.044992727576263,14.0
-34.89586571757304,-8.045008702383036,14.0
-34.897159337997444,-8.044897810599348,15.0
-34.89712042832062,-8.044886395268675,15.0
-34.89710004706132,-8.044878241461051,15.0
-34.89707040159327,-8.044867804587293,15.0
-34.897057225829684,-8.044863745803053,15.0
-34.8970348270316,-8.044852149276654,15.0
-34.897001988974665,-8.044834085456687,15.0
-34.896981465189086,-8.04481860218243,15.0
-34.89695007586997,-8.044824522257882,15.0
-34.89691229243028,-8.044834754487058,15.0
-34.89689252878491,-8.044839103184456,15.0
-34.89688594090312,-8.044846351013454,15.0
-34.89687770605088,-8.044852149276654,15.0
-34.89683653178969,-8.04488114059265,15.0
-34.896803592380735,-8.044901072122398,15.0
-34.89678382873536,-8.044913031040247,15.0
-34.8967368900776,-8.044930425829845,15.0
-34.89672177088889,-8.0449366879541,15.0
-34.89671465597655,-8.044939123224644,15.0
-34.89667619699096,-8.044974853062737,15.0
-34.89663560139506,-8.045008702383036,15.0
-34.89663508129913,-8.045016942020213,15.0
-34.89662571957238,-8.045086978936226,15.0
-34.89661860466004,-8.045158993365161,15.0
-34.89661682593196,-8.045165255489417,15.0
-34.89661301437178,-8.045176437854158,15.0
-34.896601464189416,-8.045222183891738,15.0
-34.89659236842081,-8.045243532042608,15.0
-34.89657720880646,-8.045279112294057,15.0
-34.896572357729866,-8.045290497974522,15.0
-34.89655901726924,-8.045321808595798,15.0
-34.896551605902225,-8.045334854687997,15.0
-34.896536783168195,-8.045373992964592,15.0
-34.89652869804055,-8.0453929690987,15.0
-34.89652690134551,-8.045400085148989,15.0
-34.8965240779676,-8.04541126751373,15.0
-34.89650941812076,-8.04545427660889,15.0
-34.89650444265759,-8.045478361702179,15.0
-34.896494930742705,-8.04551519772721,15.0
-34.896493848352385,-8.045518849574519,15.0
-34.896484903599095,-8.04555663825537,15.0
-34.896468529648715,-8.04557484210495,15.0
-34.89644784676402,-8.045600125229365,15.0
-34.89643167650871,-8.04562068270798,15.0
-34.896422436362826,-8.045634914808561,15.0
-34.89639843765059,-8.045669704387757,15.0
-34.89638627540728,-8.045689106268462,15.0
-34.896370768547065,-8.04571319136175,15.0
-34.89636664396021,-8.04571999801855,15.0
-34.896358910359844,-8.045735556091234,15.0
-34.89633957635893,-8.045774451272944,15.0
-34.896332752593906,-8.045791467914942,15.0
-34.89592312197937,-8.045086978936226,15.0
-34.895921961939315,-8.045093785593025,15.0
-34.89591422833895,-8.045113071120623,15.0
-34.89589644105811,-8.045149600178778,15.0
-34.89588458287089,-8.045165255489417,15.0
-34.895857632445384,-8.045193719690577,15.0
-34.89582529193477,-8.045217439858211,15.0
-34.895785764644025,-8.045200045068613,15.0
-34.895766000998655,-8.045191347673814,15.0
-34.895736355530595,-8.045178301581615,15.0
-34.89572699380384,-8.045173495126594,15.0
-34.89571412142955,-8.045165255489417,15.0
-34.89567550430668,-8.045140536577883,15.0
-34.89564741912642,-8.045126117212822,15.0
-34.89561777365836,-8.045113071120623,15.0
-34.89555848272224,-8.045086978936226,15.0
-34.89553444585624,-8.045029858208222,15.0
-34.89552883725418,-8.045008702383036,15.0
-34.8955399543047,-8.044992394767787,15.0
-34.89555848272224,-8.044973122131585,15.0
-34.89559659832403,-8.04496397292407,15.0
-34.89561184456475,-8.044961736451121,15.0
-34.89564741912642,-8.044954510923134,15.0
-34.89567037045653,-8.04495062623067,15.0
-34.89572088832987,-8.044944039143443,15.0
-34.895736355530595,-8.044941608194586,15.0
-34.89574681863697,-8.044939634836103,15.0
-34.895795646466716,-8.044930425829845,15.0
-34.895820731093536,-8.04492641164763,15.0
-34.89582529193477,-8.044925821326716,15.0
-34.8958287125657,-8.044927415193184,15.0
-34.89583418557519,-8.044930425829845,15.0
-34.895880167588416,-8.044960404084259,15.0
-34.89591422833895,-8.044984617289746,15.0
-34.89592845816362,-8.044996178134525,15.0
-34.89594159338639,-8.045008702383036,15.0
-34.895938762519414,-8.04503029591495,15.0
-34.89592469144532,-8.045077769929968,15.0
-34.89592312197937,-8.045086978936226,15.0
-34.897159337997444,-8.044832580138356,16.0
-34.897116071638656,-8.0448119532088,16.0
-34.89710597615494,-8.04480518334474,16.0
-34.89707040159327,-8.044782570118263,16.0
-34.89706447249965,-8.044779091160343,16.0
-34.89705769639267,-8.044773872723464,16.0
-34.89701703975076,-8.044742562102188,16.0
-34.896981465189086,-8.044706778535016,16.0
-34.896966642455055,-8.044708642262473,16.0
-34.896914762885956,-8.04471516530857,16.0
-34.89689252878491,-8.044717960899757,16.0
-34.89686383962227,-8.044748622222436,16.0
-34.89684311967148,-8.044773872723464,16.0
-34.896825152721135,-8.04479284885757,16.0
-34.896803592380735,-8.04480866230266,16.0
-34.89677664195522,-8.044828429109021,16.0
-34.896740066377745,-8.044852149276654,16.0
-34.89672543614676,-8.044861637343708,16.0
-34.89671465597655,-8.044866381377235,16.0
-34.89667742678411,-8.044897658900602,16.0
-34.8966346132128,-8.044930425829845,16.0
-34.89663028041362,-8.04493444001206,16.0
-34.89662571957238,-8.044938253485164,16.0
-34.89659493389401,-8.044981606653085,16.0
-34.896575692845026,-8.045008702383036,16.0
-34.89657043478059,-8.045038320538296,16.0
-34.896562193569395,-8.045064614206744,16.0
-34.896557306953774,-8.045086978936226,16.0
-34.89655399666578,-8.045102129236843,16.0
-34.896536783168195,-8.04514568635112,16.0
-34.89653104533567,-8.04516020538921,16.0
-34.89652788952778,-8.045165255489417,16.0
-34.89651899588736,-8.045180910800054,16.0
-34.8965025768589,-8.045213425675996,16.0
-34.896481197915584,-8.045243532042608,16.0
-34.89647104756511,-8.045263952013006,16.0
-34.89644784676402,-8.0453022394575,16.0
-34.896437964941335,-8.045313111200999,16.0
-34.89643302402999,-8.045321808595798,16.0
-34.89643167650871,-8.045336040696379,16.0
-34.89642413038957,-8.045379211401471,16.0
-34.896422436362826,-8.045400085148989,16.0
-34.896422436362826,-8.045422449878473,16.0
-34.89641820129596,-8.045452269517783,16.0
