X,Y,Z
-34.92388148056834,-8.044016622171982,8.0
-34.92386377971744,-8.044034118387538,8.0
-34.923549849920605,-8.043954088639214,8.0
-34.9234478097213,-8.0439760945745,8.0
-34.92336441148149,-8.043971778025655,8.0
-34.923048376046395,-8.044018427044746,8.0
-34.923014138874265,-8.044015642383913,8.0
-34.92294908824721,-8.043989188105995,8.0
-34.922914060986486,-8.04405091475447,8.0
-34.92273535047259,-8.044197882965124,8.0
-34.92258046802722,-8.044292980042608,8.0
-34.92242558558185,-8.044197882965124,8.0
-34.92224687506796,-8.04405091475447,8.0
-34.92243346096043,-8.043911419503678,8.0
-34.92258046802722,-8.043854957140264,8.0
-34.922712978563816,-8.043765143233752,8.0
-34.92269140708112,-8.043639403764637,8.0
-34.922669633995774,-8.043554794028408,8.0
-34.92258046802722,-8.043291202157853,8.0
-34.92254949153815,-8.043257286416933,8.0
-34.922547108731294,-8.043227892774803,8.0
-34.92252451049857,-8.043174794582566,8.0
-34.922448161667106,-8.04294192751068,8.0
-34.92237504499442,-8.042816381784968,8.0
-34.92237504499442,-8.042621455526627,8.0
-34.92258046802722,-8.042531489561238,8.0
-34.92277086010641,-8.042635718423579,8.0
-34.92276632696167,-8.042816381784968,8.0
-34.922894505537144,-8.042929902058027,8.0
-34.923014138874265,-8.042911345859546,8.0
-34.92310015623235,-8.04289800379948,8.0
-34.923171837364094,-8.042816381784968,8.0
-34.92313516329669,-8.042701541508736,8.0
-34.923014138874265,-8.042463658079397,8.0
-34.92288070169056,-8.042531489561238,8.0
-34.92286958192525,-8.042404870795135,8.0
-34.92273816651706,-8.042255230435195,8.0
-34.92266720219663,-8.042075662003269,8.0
-34.92262383511193,-8.041993359805302,8.0
-34.92284444158629,-8.041832333765802,8.0
-34.923014138874265,-8.041839043184115,8.0
-34.92312408359604,-8.041889033075485,8.0
-34.9233143725376,-8.041993359805302,8.0
-34.923378422385774,-8.042059201563676,8.0
-34.9234478097213,-8.04204645799754,8.0
-34.92365878472797,-8.04220467625954,8.0
-34.92375757461205,-8.042287296226611,8.0
-34.92388148056834,-8.04239017397407,8.0
-34.92389033099379,-8.042396472611669,8.0
-34.9238954699505,-8.042404870795135,8.0
-34.9239062617596,-8.04242838570884,8.0
-34.92405130971124,-8.04265523062811,8.0
-34.92409083890829,-8.042816381784968,8.0
-34.92406137366044,-8.04298708264001,8.0
-34.9239823342537,-8.04313219254461,8.0
-34.92395142747915,-8.043227892774803,8.0
-34.92399267822143,-8.043333408413222,8.0
-34.92403292118159,-8.043495701514217,8.0
-34.92411999953421,-8.043639403764637,8.0
-34.92214679718018,-8.047651635915512,8.0
-34.922174775944505,-8.047727964566853,8.0
-34.92219016426489,-8.047754513662971,8.0
-34.92217089000502,-8.047777375384628,8.0
-34.92214679718018,-8.047780233099836,8.0
-34.92280934986316,-8.041170337825635,8.0
-34.922759592942306,-8.041340309756219,8.0
-34.92258046802722,-8.04152573368049,8.0
-34.922537811878335,-8.041541372324666,8.0
-34.92246219415985,-8.041581848815468,8.0
-34.92249653173425,-8.041661496103824,8.0
-34.922542757518784,-8.04195757624097,8.0
-34.922553363599285,-8.041993359805302,8.0
-34.92252944792757,-8.04204177286293,8.0
-34.922460834690106,-8.042291350522078,8.0
-34.92233265611463,-8.042404870795135,8.0
-34.92233265611463,-8.04258123264792,8.0
-34.92214679718018,-8.042499834869712,8.0
-34.93038654327393,-8.041355517771061,9.0
-34.930186387498374,-8.04136026597479,9.0
-34.93015457979761,-8.041361738286023,9.0
-34.929952872426895,-8.041366295439841,9.0
-34.92980831547788,-8.04130750815558,9.0
-34.929711944178536,-8.041170337825635,9.0
-34.92763996124268,-8.041170337825635,9.0
-34.927554927743266,-8.041363990056144,9.0
-34.927350847344655,-8.041469618545515,9.0
-34.92726411317525,-8.041499546617501,9.0
-34.92713401192114,-8.041581848815468,9.0
-34.92718822077702,-8.041736165436657,9.0
-34.927350847344655,-8.041890482057843,9.0
-34.92738855785309,-8.04195757624097,9.0
-34.92737975873446,-8.041993359805302,9.0
-34.92760853581898,-8.04216034977219,9.0
-34.92778451819169,-8.04226770046519,9.0
-34.92796575376956,-8.042165334547322,9.0
-34.92816398018286,-8.041993359805302,9.0
-34.928151470446885,-8.04193005042225,9.0
-34.92821818903874,-8.04182875540937,9.0
-34.928304923208145,-8.041664151013435,9.0
-34.92847839154696,-8.041581848815468,9.0
-34.92858247255025,-8.041516007057096,9.0
-34.928651859885775,-8.041464274246945,9.0
-34.92874220797891,-8.04125606928185,9.0
-34.92876027759753,-8.041170337825635,9.0
-34.92701354779696,-8.044462425744303,9.0
-34.92696819659727,-8.04451083880193,9.0
-34.92691717649762,-8.04454472794227,9.0
-34.926870918273934,-8.044506320249885,9.0
-34.92680875878586,-8.044462425744303,9.0
-34.92682821837515,-8.044378013233567,9.0
-34.92691717649762,-8.044256670249386,9.0
-34.92698797990121,-8.044395240276575,9.0
-34.92701354779696,-8.044462425744303,9.0
-34.92536318929572,-8.041170337825635,9.0
-34.92544513883372,-8.041332623849796,9.0
-34.9256161639565,-8.041465781613208,9.0
-34.925724581668256,-8.04147897106801,9.0
-34.925914312663835,-8.041581848815468,9.0
-34.92595346350419,-8.041673295702099,9.0
-34.92595346350419,-8.041901912918673,9.0
-34.92597506396784,-8.041993359805302,9.0
-34.92599881470389,-8.04204177286293,9.0
-34.926049834803536,-8.042091338612405,9.0
-34.92623243305492,-8.042231603009942,9.0
-34.92631670917095,-8.042404870795135,9.0
-34.92637086387212,-8.04251175676652,9.0
-34.92648350565058,-8.042576333707567,9.0
-34.92659614742903,-8.04251175676652,9.0
-34.926700341074095,-8.042404870795135,9.0
-34.9267437081588,-8.042240266399203,9.0
-34.926798902630246,-8.042105590075257,9.0
-34.926835863213796,-8.041993359805302,9.0
-34.926820805198275,-8.041901912918673,9.0
-34.926820805198275,-8.041673295702099,9.0
-34.926798902630246,-8.041581848815468,9.0
-34.926813095494325,-8.041483086177909,9.0
-34.92675352712138,-8.04132562499161,9.0
-34.926762294052246,-8.041170337825635,9.0
-34.9245753539236,-8.048989046632471,9.0
-34.92462032719663,-8.048867117450298,9.0
-34.92474882226242,-8.048783291137553,9.0
-34.92485723997418,-8.048680413390096,9.0
-34.92485723997418,-8.048577535642638,9.0
-34.924824243279296,-8.04850596851397,9.0
-34.92474882226242,-8.048394641869379,9.0
-34.92455169915013,-8.048353075102728,9.0
-34.92448861975419,-8.048330629048737,9.0
-34.92431515141538,-8.048283599221328,9.0
-34.924239730398504,-8.04823759178147,9.0
-34.92420673370362,-8.048166024652804,9.0
-34.92400250499077,-8.048051184376572,9.0
-34.92388148056834,-8.048042571355854,9.0
-34.92373692361933,-8.04802885432286,9.0
-34.9234478097213,-8.048166024652804,9.0
-34.92359236667031,-8.048440365312693,9.0
-34.92362127806012,-8.048577535642638,9.0
-34.923751379314226,-8.048700988939588,9.0
-34.92388148056834,-8.048824442236537,9.0
-34.924001113905454,-8.048875526359414,9.0
-34.924054948907155,-8.048989046632471,9.0
-34.92523351320911,-8.042404870795135,9.0
-34.92523586798294,-8.042455518301576,9.0
-34.92518249310946,-8.042587764568395,9.0
-34.92498536999717,-8.042629331335045,9.0
-34.924948978037975,-8.042626453635815,9.0
-34.92474882226242,-8.042651777389036,9.0
-34.92465477316306,-8.042494114142329,9.0
-34.9246340270382,-8.042404870795135,9.0
-34.9246675089786,-8.042327712484541,9.0
-34.92474882226242,-8.042219690849711,9.0
-34.92490812992052,-8.042253703492747,9.0
-34.925062859772346,-8.042291350522078,9.0
-34.92518249310946,-8.042318236902538,9.0
-34.925225324798056,-8.042364227734412,9.0
-34.92523351320911,-8.042404870795135,9.0
-34.92414168307656,-8.046108469703636,9.0
-34.92404935315429,-8.046267764280346,9.0
-34.92388148056834,-8.046382810363525,9.0
-34.92378855110112,-8.046431799767078,9.0
-34.92366464514482,-8.04651998069347,9.0
-34.92353454389071,-8.046602282891437,9.0
-34.9234478097213,-8.046696342546255,9.0
-34.923377484719076,-8.046586712205334,9.0
-34.92334773183352,-8.04651998069347,9.0
-34.923247653945744,-8.046330052544317,9.0
-34.92323626296665,-8.046309206771848,9.0
-34.92313804483056,-8.046108469703636,9.0
-34.92318760721308,-8.045943865307704,9.0
-34.9231767654419,-8.045851275334991,9.0
-34.92333939200954,-8.045696958713803,9.0
-34.923427158728586,-8.045677362952382,9.0
-34.9234478097213,-8.045679066931637,9.0
-34.92345985613372,-8.045685527852974,9.0
-34.92353454389071,-8.045696958713803,9.0
-34.923761847231226,-8.04581047898686,9.0
-34.92388148056834,-8.045861563109737,9.0
-34.924054948907155,-8.045943865307704,9.0
-34.92414168307656,-8.046108469703636,9.0
-34.92310612966,-8.042816381784968,9.0
-34.92306431566648,-8.042863994626767,9.0
-34.923014138874265,-8.042871777495138,9.0
-34.92294435276094,-8.042882601944253,9.0
-34.92286958192525,-8.042816381784968,9.0
-34.92287294371476,-8.042682401462697,9.0
-34.923014138874265,-8.042610626290053,9.0
-34.923084736454015,-8.042749391623833,9.0
-34.92310612966,-8.042816381784968,9.0
-34.92214679718018,-8.04713724717822,9.0
